folio,carbono_arboles_tpha,date_distance,measurement_date,veg_type_id,veg_type,type_code,ecosystem,num_pixels,num_masked_pixels,elev_mean,slope_mean,vcf_mean,hh_mean,hv_mean,lsmask_mean,lsmask_min,lsmask_max,num_images
42618,9.4947906249511390,-81,2007-07-10,39,Bosque de encino-pino,CBF,Bosques,66.0000000000000000,66.0000000000000000,2095.4545454545455000,42.4848484848484840,28.7727272727272730,0.23043409216489040000,0.02358492116411762400,0.00000000000000000000,0,0,1
24225,6.0691043044545554,-122,2007-05-30,37,Bosque de pino-encino,CBF,Bosques,118.5000000000000000,118.5000000000000000,2282.4608182533435000,45.6763571990558600,9.1518489378442165,0.08340316029524112500,0.02309984269166416050,0.00000000000000000000,0,0,2
72951,9.7894540394327439,-683,2005-11-15,22,Selva alta perennifolia,THF,Selvas,210.0000000000000000,210.0000000000000000,307.3142857142857000,33.7380952380952400,68.1095238095238100,0.09950656961926450000,0.02848753378782785400,0.00000000000000000000,0,0,1
72230,2.8414766171021155,-985,2005-01-17,36,Bosque de pino,CF,Bosques,62.0000000000000000,62.0000000000000000,2254.1612903225805000,37.6612903225806500,18.5161290322580640,0.08108572066748908000,0.01870007158089407500,0.00000000000000000000,0,0,1
69169,0.62706249511390465469,-671,2005-11-27,22,Selva alta perennifolia,THF,Selvas,181.0000000000000000,181.0000000000000000,87.8618784530386700,6.1657458563535910,27.7900552486187850,0.03608949856805738300,0.00784212315367199300,0.00000000000000000000,0,0,1
64566,36.1566989696202136,-936,2005-03-07,26,Selva mediana subperennifolia,THF,Selvas,189.0000000000000000,189.0000000000000000,142.0687830687830600,2.9682539682539684,77.6878306878306800,0.09125609732295024000,0.03100420183559222600,0.00000000000000000000,0,0,1
8000,32.6828150163391028,-362,2006-10-02,38,Bosque de encino,BF,Bosques,38.0000000000000000,38.0000000000000000,1348.0789473684210000,13.6842105263157900,9.2631578947368420,0.05417880487340999400,0.01453077252658081000,0.00000000000000000000,0,0,1
64612,2.6523919508419719,-727,2005-10-02,27,Selva baja caducifolia,TDF,Selvas,151.0000000000000000,151.0000000000000000,217.4973035439137000,8.8410374935798665,8.7580251669234725,0.06121523331964800800,0.01212555050391602750,0.00000000000000000000,0,0,2
47784,4.3491704739121597,-382,2006-09-12,25,Selva mediana subcaducifolia,TDF,Selvas,570.0000000000000000,570.0000000000000000,11.0842105263157900,0.68421052631578950000,78.8140350877193000,0.06955719102391998000,0.02044964143631783700,0.00000000000000000000,0,0,1
60667,13.7017840736745001,-115,2007-06-06,26,Selva mediana subperennifolia,THF,Selvas,107.0000000000000000,107.0000000000000000,79.6728971962616900,9.6168224299065410,71.8130841121495400,0.10121325027694082000,0.02913512261117706700,0.00000000000000000000,0,0,1
